0.00.170.922 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.01.318.524 I srv    load_model: loading model '/home/mark/AI/Models/Qwen 3.6/27B/Qwen3.6-27B-BF16-00001-of-00002.gguf'
1.58.775.375 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 1024, kv_unified = 'false'
1.58.837.911 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
1.58.838.328 I srv  llama_server: model loaded
1.58.838.337 I srv  llama_server: listening on http://127.0.0.1:8090
2.01.016.787 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
4.53.413.873 I slot print_timing: id  3 | task 0 | n_decoded =    526, tg =   3.10 t/s, tg_3s =   3.11 t/s
4.53.734.251 I slot print_timing: id  1 | task 2 | n_decoded =    526, tg =   3.11 t/s, tg_3s =   3.11 t/s
4.56.638.601 I slot print_timing: id  2 | task 1 | n_decoded =    536, tg =   3.10 t/s, tg_3s =   3.10 t/s
4.56.639.457 I slot print_timing: id  3 | task 0 | n_decoded =    536, tg =   3.10 t/s, tg_3s =   3.10 t/s
4.56.959.806 I slot print_timing: id  1 | task 2 | n_decoded =    536, tg =   3.11 t/s, tg_3s =   3.10 t/s
4.58.891.665 I slot print_timing: id  0 | task 447 | n_decoded =    100, tg =   3.14 t/s, tg_3s =   3.14 t/s
4.59.859.422 I slot print_timing: id  2 | task 1 | n_decoded =    546, tg =   3.10 t/s, tg_3s =   3.10 t/s
4.59.860.287 I slot print_timing: id  3 | task 0 | n_decoded =    546, tg =   3.10 t/s, tg_3s =   3.10 t/s
5.00.180.608 I slot print_timing: id  1 | task 2 | n_decoded =    546, tg =   3.11 t/s, tg_3s =   3.10 t/s
5.02.111.854 I slot print_timing: id  0 | task 447 | n_decoded =    110, tg =   3.14 t/s, tg_3s =   3.11 t/s
5.03.080.084 I slot print_timing: id  2 | task 1 | n_decoded =    556, tg =   3.10 t/s, tg_3s =   3.10 t/s
5.03.080.910 I slot print_timing: id  3 | task 0 | n_decoded =    556, tg =   3.10 t/s, tg_3s =   3.10 t/s
5.03.401.181 I slot print_timing: id  1 | task 2 | n_decoded =    556, tg =   3.11 t/s, tg_3s =   3.11 t/s
5.05.332.878 I slot print_timing: id  0 | task 447 | n_decoded =    120, tg =   3.13 t/s, tg_3s =   3.10 t/s
5.06.301.086 I slot print_timing: id  2 | task 1 | n_decoded =    566, tg =   3.10 t/s, tg_3s =   3.10 t/s
5.06.301.937 I slot print_timing: id  3 | task 0 | n_decoded =    566, tg =   3.10 t/s, tg_3s =   3.10 t/s
5.06.622.179 I slot print_timing: id  1 | task 2 | n_decoded =    566, tg =   3.11 t/s, tg_3s =   3.10 t/s
5.08.553.660 I slot print_timing: id  0 | task 447 | n_decoded =    130, tg =   3.13 t/s, tg_3s =   3.10 t/s
5.09.521.192 I slot print_timing: id  2 | task 1 | n_decoded =    576, tg =   3.10 t/s, tg_3s =   3.11 t/s
5.09.522.007 I slot print_timing: id  3 | task 0 | n_decoded =    576, tg =   3.10 t/s, tg_3s =   3.11 t/s
5.09.842.322 I slot print_timing: id  1 | task 2 | n_decoded =    576, tg =   3.11 t/s, tg_3s =   3.11 t/s
5.11.773.080 I slot print_timing: id  0 | task 447 | n_decoded =    140, tg =   3.13 t/s, tg_3s =   3.11 t/s
5.12.740.601 I slot print_timing: id  2 | task 1 | n_decoded =    586, tg =   3.10 t/s, tg_3s =   3.11 t/s
5.12.741.425 I slot print_timing: id  3 | task 0 | n_decoded =    586, tg =   3.10 t/s, tg_3s =   3.11 t/s
5.13.061.953 I slot print_timing: id  1 | task 2 | n_decoded =    586, tg =   3.11 t/s, tg_3s =   3.11 t/s
