0.00.167.587 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.01.245.567 I srv    load_model: loading model '/home/mark/AI/Models/Qwen 3.6/27B-ThinkingCap/ThinkingCap-Qwen3.6-27B-Q8_0-MTP.gguf'
0.46.294.074 I srv    load_model: initializing, n_slots = 4, n_ctx_slot = 8192, kv_unified = 'false'
0.46.340.530 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.46.340.600 I srv  llama_server: model loaded
0.46.340.608 I srv  llama_server: listening on http://127.0.0.1:8090
0.50.182.040 I slot get_availabl: id  3 | task -1 | selected slot by LRU, t_last = -1
2.45.418.488 I slot print_timing: id  1 | task 0 | n_decoded =    604, tg =   5.41 t/s, tg_3s =   5.25 t/s
2.45.419.308 I slot print_timing: id  2 | task 1 | n_decoded =    604, tg =   5.41 t/s, tg_3s =   5.25 t/s
2.45.420.114 I slot print_timing: id  3 | task 2 | n_decoded =    604, tg =   5.41 t/s, tg_3s =   5.25 t/s
2.48.467.976 I slot print_timing: id  0 | task 3 | n_decoded =    620, tg =   5.40 t/s, tg_3s =   5.25 t/s
2.48.468.834 I slot print_timing: id  1 | task 0 | n_decoded =    620, tg =   5.40 t/s, tg_3s =   5.25 t/s
2.48.469.677 I slot print_timing: id  2 | task 1 | n_decoded =    620, tg =   5.40 t/s, tg_3s =   5.25 t/s
2.48.470.518 I slot print_timing: id  3 | task 2 | n_decoded =    620, tg =   5.40 t/s, tg_3s =   5.25 t/s
2.51.518.534 I slot print_timing: id  0 | task 3 | n_decoded =    636, tg =   5.40 t/s, tg_3s =   5.24 t/s
2.51.519.389 I slot print_timing: id  1 | task 0 | n_decoded =    636, tg =   5.40 t/s, tg_3s =   5.24 t/s
2.51.520.240 I slot print_timing: id  2 | task 1 | n_decoded =    636, tg =   5.40 t/s, tg_3s =   5.24 t/s
2.51.521.045 I slot print_timing: id  3 | task 2 | n_decoded =    636, tg =   5.40 t/s, tg_3s =   5.24 t/s
2.54.568.441 I slot print_timing: id  0 | task 3 | n_decoded =    652, tg =   5.39 t/s, tg_3s =   5.25 t/s
2.54.569.314 I slot print_timing: id  1 | task 0 | n_decoded =    652, tg =   5.39 t/s, tg_3s =   5.25 t/s
2.54.570.170 I slot print_timing: id  2 | task 1 | n_decoded =    652, tg =   5.39 t/s, tg_3s =   5.25 t/s
2.54.571.060 I slot print_timing: id  3 | task 2 | n_decoded =    652, tg =   5.39 t/s, tg_3s =   5.25 t/s
