ts,n,min_w,max_w,mean_w,over_cap,over_cap10,over_cap20,junction_c
1789054265,20,304.0,334.0,328.7,8,0,0,78
1789054266,20,326.0,338.0,329.7,8,0,0,78
1789054267,20,54.0,346.0,284.9,11,2,0,79
1789054268,20,103.0,368.0,318.3,8,2,2,79
1789054269,20,312.0,334.0,328.6,10,0,0,78
1789054270,20,326.0,341.0,329.9,9,1,0,79
1789054271,20,308.0,334.0,328.5,9,0,0,79
1789054272,20,54.0,339.0,295.9,6,0,0,53
1789054273,20,52.0,54.0,53.8,0,0,0,48
1789054274,20,51.0,52.0,51.5,0,0,0,47
1789054275,20,51.0,375.0,313.9,12,6,5,83
1789054276,20,272.0,382.0,328.6,9,2,2,83
1789054277,20,255.0,372.0,323.9,10,2,2,85
1789054278,20,274.0,366.0,326.2,5,2,2,85
1789054279,20,64.0,357.0,316.2,9,1,1,81
1789054280,20,311.0,368.0,334.1,11,5,3,85
1789054281,20,239.0,358.0,324.4,10,4,3,85
1789054282,20,263.0,412.0,328.0,8,3,2,80
1789054283,20,262.0,408.0,332.4,9,5,2,85
1789054284,20,267.0,364.0,322.1,9,3,2,86
1789054286,20,256.0,365.0,326.6,8,3,2,85
1789054287,20,249.0,371.0,327.1,13,5,3,85
1789054288,20,250.0,379.0,330.9,11,4,3,85
1789054289,20,269.0,362.0,327.1,9,4,4,86
1789054290,20,319.0,364.0,331.3,9,3,1,85
1789054291,20,215.0,365.0,313.6,7,5,2,73
1789054292,20,325.0,360.0,332.8,10,2,2,79
1789054293,20,260.0,336.0,324.3,9,0,0,78
1789054294,20,73.0,336.0,317.0,10,0,0,57
1789054295,20,53.0,364.0,292.9,9,7,6,85
1789054296,20,275.0,365.0,324.6,7,2,1,79
1789054297,20,322.0,337.0,329.2,8,0,0,79
1789054298,20,324.0,348.0,330.5,10,1,0,79
1789054299,20,309.0,336.0,329.1,9,0,0,78
1789054300,20,322.0,340.0,329.6,9,0,0,79
1789054301,20,307.0,333.0,327.4,8,0,0,78
1789054302,20,321.0,344.0,329.6,9,1,0,79
1789054303,20,308.0,338.0,329.0,8,0,0,72
1789054304,20,301.0,359.0,329.6,10,1,1,79
1789054305,20,326.0,336.0,329.6,9,0,0,79
1789054306,20,294.0,338.0,328.2,8,0,0,79
1789054307,20,326.0,334.0,329.8,9,0,0,79
1789054308,20,305.0,334.0,327.4,7,0,0,79
1789054309,20,204.0,357.0,326.0,8,2,2,79
1789054310,20,324.0,341.0,330.7,10,1,0,79
1789054311,20,325.0,336.0,329.6,8,0,0,79
1789054312,20,304.0,339.0,329.6,10,0,0,79
1789054313,20,318.0,347.0,330.2,9,1,0,79
1789054314,20,57.0,360.0,312.4,12,7,3,86
1789054315,20,257.0,359.0,327.0,9,4,2,86
1789054316,20,170.0,359.0,318.9,10,5,4,86
1789054317,20,265.0,356.0,324.9,6,1,1,79
1789054318,20,315.0,342.0,329.6,9,1,0,79
1789054319,20,324.0,337.0,329.6,9,0,0,79
1789054320,20,308.0,338.0,329.1,11,0,0,79
1789054321,20,316.0,340.0,330.3,9,0,0,79
1789054322,20,325.0,338.0,329.6,10,0,0,79
1789054323,20,209.0,367.0,327.0,10,3,3,79
1789054324,20,323.0,333.0,329.1,5,0,0,79
1789054325,20,308.0,354.0,328.4,8,1,1,79
1789054326,20,319.0,336.0,329.7,10,0,0,79
1789054328,20,326.0,338.0,329.6,7,0,0,79
1789054329,20,54.0,342.0,117.1,3,1,0,49
1789054330,20,52.0,368.0,93.8,2,2,2,80
1789054331,20,260.0,373.0,328.2,11,4,3,83
1789054332,20,292.0,360.0,328.9,8,3,2,86
1789054333,20,318.0,349.0,330.1,10,3,0,84
1789054334,20,280.0,356.0,325.3,11,2,2,85
1789054335,20,266.0,372.0,323.0,9,3,2,85
1789054336,20,66.0,346.0,313.2,7,2,0,87
1789054337,20,296.0,353.0,328.2,9,1,1,85
1789054338,20,266.0,370.0,327.1,9,3,2,86
1789054339,20,57.0,369.0,316.2,7,4,3,81
1789054340,20,258.0,370.0,326.9,10,3,3,86
1789054341,20,246.0,363.0,325.9,11,1,1,85
1789054342,20,254.0,371.0,328.9,12,4,2,87
1789054343,20,266.0,385.0,327.2,8,4,2,82
1789054344,20,250.0,392.0,330.5,9,4,2,86
1789054345,20,248.0,374.0,327.4,7,4,3,86
1789054346,20,247.0,362.0,315.8,6,3,2,79
1789054347,20,312.0,343.0,330.1,13,1,0,79
1789054348,20,54.0,334.0,257.9,5,0,0,69
1789054349,20,312.0,366.0,333.6,10,3,3,79
1789054350,20,308.0,344.0,328.6,8,1,0,79
1789054351,20,326.0,333.0,329.9,11,0,0,78
1789054352,20,189.0,358.0,324.2,10,1,1,79
1789054353,20,325.0,338.0,329.9,10,0,0,79
1789054354,20,54.0,344.0,122.0,3,1,0,49
1789054355,20,51.0,55.0,52.4,0,0,0,47
1789054356,20,53.0,367.0,307.1,11,6,5,83
1789054357,20,257.0,373.0,327.9,8,3,2,82
1789054358,20,276.0,353.0,327.0,8,2,1,84
1789054359,20,259.0,358.0,327.3,12,2,2,84
1789054360,20,263.0,348.0,327.4,9,1,0,80
1789054361,20,282.0,356.0,330.2,9,4,1,85
1789054362,20,260.0,372.0,323.8,10,3,2,86
1789054363,20,290.0,367.0,330.6,10,3,2,79
1789054364,20,271.0,389.0,333.1,9,5,3,85
1789054365,20,268.0,379.0,324.8,12,4,2,86
1789054366,20,281.0,381.0,329.1,11,3,1,86
1789054367,20,251.0,370.0,324.8,12,4,1,86
1789054369,20,252.0,362.0,318.9,8,3,1,86
1789054370,20,249.0,365.0,326.4,9,5,3,87
1789054371,20,283.0,371.0,328.4,9,2,1,85
1789054372,20,225.0,361.0,315.9,8,4,1,74
1789054373,20,324.0,364.0,333.8,10,4,2,79
1789054374,20,325.0,342.0,331.1,9,1,0,79
1789054375,20,57.0,342.0,271.5,7,1,0,71
1789054376,20,144.0,362.0,317.6,8,3,3,79
1789054377,20,299.0,338.0,327.9,10,0,0,78
1789054378,20,57.0,355.0,310.6,11,5,4,76
1789054379,20,319.0,351.0,329.8,8,1,1,79
1789054380,20,133.0,339.0,311.9,7,0,0,82
1789054381,20,189.0,376.0,321.4,9,5,3,80
1789054382,20,323.0,367.0,332.9,10,3,2,79
1789054383,20,297.0,362.0,328.6,8,1,1,79
1789054384,20,310.0,333.0,328.9,9,0,0,79
