..........................................................................................................done
...done

task	acc_norm
920	49.34782609
921	49.40282302
922	49.45770065
923	49.51245937
924	49.45887446
925	49.40540541
926	49.35205184
927	49.29881338
928	49.24568966
929	49.19268030
930	49.13978495
931	49.08700322
932	49.03433476
933	49.08896034
934	49.03640257
935	49.09090909
936	49.03846154
937	49.09284952
938	49.04051173
939	49.09478168
940	49.04255319
941	48.99043571
942	49.04458599
943	49.09862142
944	49.15254237
945	49.20634921
946	49.26004228
947	49.20802534
948	49.15611814
949	49.10432034
950	49.05263158
951	49.00105152
952	48.94957983
953	49.00314795
954	49.05660377
955	49.00523560
956	49.05857741
957	49.00731452
958	48.95615866
959	48.90510949
960	48.95833333
961	49.01144641
962	49.06444906
963	49.01349948
964	49.06639004
965	49.11917098
966	49.17184265
967	49.12099276
968	49.17355372
969	49.22600619
970	49.17525773
971	49.12461380
972	49.17695473
