..........................................................................................................done
...done

task	acc_norm
973	48.50976362
974	48.56262834
975	48.61538462
976	48.66803279
977	48.61821904
978	48.56850716
979	48.51889683
980	48.46938776
981	48.52191641
982	48.47250509
983	48.42319430
984	48.37398374
985	48.42639594
986	48.37728195
987	48.32826748
988	48.27935223
989	48.23053589
990	48.18181818
991	48.23410696
992	48.18548387
993	48.13695871
994	48.18913481
995	48.24120603
996	48.19277108
997	48.24473420
998	48.19639279
999	48.14814815
1000	48.20000000
1001	48.25174825
1002	48.20359281
1003	48.25523430
1004	48.20717131
1005	48.25870647
1006	48.21073559
1007	48.26216485
1008	48.21428571
1009	48.16650149
1010	48.21782178
1011	48.26904055
1012	48.32015810
1013	48.37117473
1014	48.42209073
1015	48.37438424
1016	48.42519685
1017	48.47590954
1018	48.52652259
1019	48.47890088
1020	48.52941176
1021	48.57982370
1022	48.63013699
1023	48.68035191
1024	48.63281250
1025	48.68292683
1026	48.63547758
1027	48.58812074
1028	48.63813230
1029	48.68804665
1030	48.64077670
1031	48.59359845
1032	48.64341085
1033	48.69312682
1034	48.64603482
1035	48.59903382
1036	48.55212355
1037	48.60173578
1038	48.55491329
1039	48.60442733
1040	48.55769231
1041	48.51104707
1042	48.56046065
1043	48.51390221
1044	48.56321839
1045	48.61244019
1046	48.56596558
1047	48.61509074
1048	48.66412214
1049	48.61773117
1050	48.57142857
1051	48.52521408
1052	48.57414449
1053	48.52801519
1054	48.57685009
1055	48.62559242
1056	48.67424242
1057	48.62819300
1058	48.67674858
1059	48.72521246
1060	48.77358491
1061	48.82186616
1062	48.77589454
1063	48.73000941
1064	48.77819549
1065	48.73239437
1066	48.68667917
1067	48.73477038
1068	48.78277154
1069	48.83068288
1070	48.78504673
1071	48.83286648
1072	48.78731343
1073	48.74184529
1074	48.78957169
1075	48.83720930
1076	48.79182156
1077	48.74651811
1078	48.70129870
1079	48.65616311
1080	48.70370370
1081	48.75115634
1082	48.70609982
1083	48.66112650
1084	48.70848708
1085	48.66359447
1086	48.61878453
1087	48.57405704
1088	48.62132353
1089	48.57667585
1090	48.62385321
1091	48.67094409
1092	48.71794872
1093	48.67337603
1094	48.62888483
1095	48.67579909
1096	48.63138686
1097	48.67821331
1098	48.63387978
1099	48.58962693
1100	48.63636364
1101	48.59218892
1102	48.63883848
1103	48.59474161
1104	48.55072464
1105	48.50678733
1106	48.46292948
